,station_number,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,fog,rain,snow,hail,thunder,tornado,date,snow_tomorrow
9595,725327,76.0999984741211,65.30000305175781,1018.5,8.800000190734863,2.4000000953674316,7.0,63.0,0.0,0,0,0,0,0,0,2007-10-07,0
9596,725300,76.5,63.70000076293945,1014.0999755859375,10.0,7.400000095367432,15.0,66.19999694824219,0.0,0,0,0,0,0,0,2007-10-08,0
9597,725316,78.69999694824219,62.20000076293945,1015.0999755859375,10.0,6.300000190734863,15.899999618530273,64.0,0.0,0,0,0,0,0,0,2007-10-08,0
9598,725330,74.80000305175781,62.400001525878906,1016.4000244140625,9.399999618530273,3.299999952316284,11.100000381469727,63.0,0.0,0,0,0,0,0,0,2007-10-08,0
9599,725320,75.5999984741211,63.20000076293945,1014.5,9.600000381469727,5.699999809265137,14.0,66.19999694824219,0.0,0,0,0,0,0,0,2007-10-08,0
9600,725305,74.80000305175781,64.0,1014.0,8.800000190734863,7.099999904632568,16.899999618530273,64.9000015258789,0.0,0,0,0,0,0,0,2007-10-08,0
9601,725317,76.9000015258789,63.0,1015.2000122070312,9.5,4.599999904632568,9.899999618530273,64.4000015258789,0.0,0,0,0,0,0,0,2007-10-08,0
9602,725315,76.0,61.900001525878906,1015.5,9.100000381469727,6.199999809265137,13.0,62.599998474121094,0.11999999731779099,0,0,0,0,0,0,2007-10-08,0
9603,725314,73.4000015258789,63.599998474121094,1015.4000244140625,9.300000190734863,3.4000000953674316,9.899999618530273,62.599998474121094,0.029999999329447746,0,0,0,0,0,0,2007-10-08,0
9604,725327,75.5,62.900001525878906,1015.4000244140625,8.699999809265137,4.400000095367432,15.899999618530273,62.599998474121094,0.0,0,0,0,0,0,0,2007-10-08,0
9605,725330,68.0,54.20000076293945,1014.0999755859375,9.5,8.199999809265137,16.899999618530273,57.0,0.33000001311302185,0,0,0,0,0,0,2007-10-09,0
9606,725314,69.9000015258789,52.29999923706055,1018.9000244140625,10.0,7.400000095367432,12.0,55.900001525878906,0.009999999776482582,0,0,0,0,0,0,2007-10-09,0
9607,725316,70.80000305175781,49.099998474121094,1016.9000244140625,10.0,8.699999809265137,16.899999618530273,57.20000076293945,0.009999999776482582,0,0,0,0,0,0,2007-10-09,0
9608,725300,65.4000015258789,48.900001525878906,1014.0,10.0,9.699999809265137,19.0,53.599998474121094,0.0,0,0,0,0,0,0,2007-10-09,0
9609,725315,66.0,52.20000076293945,1016.7999877929688,9.800000190734863,9.300000190734863,20.0,50.0,0.10999999940395355,0,0,0,0,0,0,2007-10-09,0
9610,725305,63.099998474121094,49.099998474121094,1014.5,10.0,9.5,22.0,51.099998474121094,0.0,0,0,0,0,0,0,2007-10-09,0
9611,725327,66.5,50.70000076293945,1014.7999877929688,9.800000190734863,8.300000190734863,20.0,52.0,0.10000000149011612,0,0,0,0,0,0,2007-10-09,0
9612,725320,65.19999694824219,47.70000076293945,1016.7000122070312,10.0,6.800000190734863,18.100000381469727,51.099998474121094,0.0,0,0,0,0,0,0,2007-10-09,0
9613,725317,68.80000305175781,51.599998474121094,1016.7999877929688,9.899999618530273,9.399999618530273,15.899999618530273,53.099998474121094,0.0,0,0,0,0,0,0,2007-10-09,0
9614,725327,51.70000076293945,37.400001525878906,1012.9000244140625,10.0,9.199999809265137,12.0,46.400001525878906,0.0,0,0,0,0,0,0,2007-10-10,0
9615,725305,50.900001525878906,36.599998474121094,1013.7000122070312,10.0,10.800000190734863,15.0,45.0,0.0,0,0,0,0,0,0,2007-10-10,0
9616,725300,51.099998474121094,35.70000076293945,1013.2000122070312,10.0,13.600000381469727,20.0,46.400001525878906,0.0,0,0,0,0,0,0,2007-10-10,0
9617,725320,52.900001525878906,37.0,1016.2000122070312,10.0,7.599999904632568,12.0,44.099998474121094,0.0,0,0,0,0,0,0,2007-10-10,0
9618,725330,53.29999923706055,41.599998474121094,1011.2999877929688,10.0,9.399999618530273,18.100000381469727,46.400001525878906,0.0,0,0,0,0,0,0,2007-10-10,0
9619,725314,60.20000076293945,40.900001525878906,1017.4000244140625,10.0,9.899999618530273,16.899999618530273,51.099998474121094,0.0,0,0,0,0,0,0,2007-10-10,0
9620,725316,56.70000076293945,37.599998474121094,1015.7999877929688,10.0,12.300000190734863,20.0,48.0,0.0,0,0,0,0,0,0,2007-10-10,0
9621,725317,54.0,39.20000076293945,1015.0999755859375,10.0,12.300000190734863,18.100000381469727,44.099998474121094,0.0,0,0,0,0,0,0,2007-10-10,0
9622,725315,51.79999923706055,38.20000076293945,1015.0999755859375,10.0,11.5,15.899999618530273,42.099998474121094,0.0,0,0,0,0,0,0,2007-10-10,0
9623,725320,50.20000076293945,38.70000076293945,1017.0999755859375,10.0,5.0,11.100000381469727,42.099998474121094,0.0,0,0,0,0,0,0,2007-10-11,0
9624,725305,51.099998474121094,41.79999923706055,1015.7000122070312,10.0,11.300000190734863,15.899999618530273,46.0,0.0,0,0,0,0,0,0,2007-10-11,0
9625,725316,54.099998474121094,39.20000076293945,1016.4000244140625,10.0,9.399999618530273,15.0,44.599998474121094,0.0,0,0,0,0,0,0,2007-10-11,0
9626,725327,51.20000076293945,47.099998474121094,1014.2000122070312,7.199999809265137,9.399999618530273,15.0,46.400001525878906,0.4000000059604645,0,0,0,0,0,0,2007-10-11,0
9627,725314,53.5,39.099998474121094,1017.7000122070312,10.0,7.5,12.0,43.0,0.0,0,0,0,0,0,0,2007-10-11,0
9628,725330,49.099998474121094,43.29999923706055,1012.5999755859375,9.699999809265137,8.5,13.0,44.099998474121094,0.009999999776482582,0,0,0,0,0,0,2007-10-11,0
9629,725317,53.20000076293945,40.400001525878906,1015.5,10.0,9.899999618530273,14.0,42.79999923706055,0.0,0,0,0,0,0,0,2007-10-11,0
9630,725300,50.099998474121094,41.20000076293945,1015.5999755859375,9.899999618530273,12.5,19.0,46.400001525878906,0.0,0,0,0,0,0,0,2007-10-11,0
9631,725315,49.29999923706055,39.900001525878906,1015.7999877929688,10.0,8.699999809265137,13.0,39.0,0.0,0,0,0,0,0,0,2007-10-11,0
9632,725330,51.20000076293945,39.900001525878906,1015.7999877929688,10.0,5.099999904632568,11.100000381469727,44.099998474121094,0.0,0,0,0,0,0,0,2007-10-12,0
9633,725317,52.20000076293945,41.400001525878906,1016.4000244140625,10.0,3.9000000953674316,8.0,46.0,0.0,0,0,0,0,0,0,2007-10-12,0
9634,725314,50.400001525878906,41.29999923706055,1017.2000122070312,9.399999618530273,0.6000000238418579,5.099999904632568,37.0,0.0,0,0,0,0,0,0,2007-10-12,0
9635,725315,52.0,38.79999923706055,1016.7000122070312,10.0,4.599999904632568,8.899999618530273,43.0,0.0,0,0,0,0,0,0,2007-10-12,0
9636,725305,49.099998474121094,36.20000076293945,1016.9000244140625,10.0,4.0,8.0,39.0,0.0,0,0,0,0,0,0,2007-10-12,0
9637,725327,49.5,42.29999923706055,1016.5999755859375,9.699999809265137,2.700000047683716,7.0,46.0,0.0,0,0,0,0,0,0,2007-10-12,0
9638,725320,50.5,38.099998474121094,1017.4000244140625,10.0,2.4000000953674316,7.0,42.099998474121094,0.0,0,0,0,0,0,0,2007-10-12,0
9639,725316,54.400001525878906,40.20000076293945,1016.9000244140625,10.0,3.799999952316284,8.0,48.0,0.0,0,0,0,0,0,0,2007-10-12,0
9640,725300,48.79999923706055,34.79999923706055,1017.0,10.0,6.099999904632568,12.0,43.0,0.0,0,0,0,0,0,0,2007-10-12,0
9641,725317,49.79999923706055,41.79999923706055,1017.2000122070312,9.5,2.700000047683716,8.899999618530273,39.0,0.0,0,0,0,0,0,0,2007-10-13,0
9642,725320,51.099998474121094,41.900001525878906,1016.7000122070312,9.800000190734863,2.799999952316284,11.100000381469727,42.099998474121094,0.0,0,0,0,0,0,0,2007-10-13,0
9643,725330,47.0,37.29999923706055,1017.5999755859375,9.699999809265137,2.4000000953674316,9.899999618530273,35.099998474121094,0.0,0,0,0,0,0,0,2007-10-13,0
9644,725315,48.29999923706055,39.599998474121094,1017.5,9.699999809265137,3.299999952316284,8.899999618530273,36.0,0.0,0,0,0,0,0,0,2007-10-13,0
